year,agriculture_share,industry_share,services_share
1991,59.640085,21.431605,18.928318
1992,58.500109,21.700025,19.799858
1993,56.400437,22.400008,21.199555
1994,54.299903,22.699579,23.000518
1995,52.200108,23.000076,24.799824
1996,50.500359,23.499638,25.999996
1997,49.900454,23.699855,26.39969
1998,49.799675,23.500427,26.69989
1999,50.099443,23.000533,26.900018
2000,50.039561,24.64702,25.313419
2001,50.000008,22.299953,27.700039
2002,49.999993,21.400107,28.599892
2003,49.099489,21.600032,29.300481
2004,46.900252,22.499463,30.600292
2005,44.800196,23.80002,31.399792
2006,42.600488,25.199393,32.200113
2007,40.800044,26.799965,32.4
2008,39.600071,27.199818,33.200111
2009,38.099885,27.800124,34.099992
2010,36.70061,28.699823,34.599567
2011,34.799791,29.500133,35.700078
2012,33.600592,30.299592,36.099814
2013,31.400286,30.099901,38.499813
2014,29.500473,29.900457,40.599078
2015,28.300472,29.299818,42.399711
2016,27.422125,29.644449,42.933426
2017,26.683583,29.970606,43.345804
2018,25.751495,30.363785,43.88472
2019,24.72199,30.758739,44.519274
2020,23.59986,31.132287,45.267854
2021,22.868778,31.534245,45.596985
2022,24.080109,30.931294,44.988605
2023,22.800877,31.426722,45.772394
2024,22.216498,31.632444,46.15106
2025,21.676862,31.792324,46.530814
